model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.input_layernorm.weight,,5.0,norm,input_layernorm,896,1.2032337188720703,0.5108857750892639,1.3070900440216064,1.2032337188720703
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.post_attention_layernorm.weight,,5.0,norm,post_attention_layernorm,896,1.4186489582061768,0.4329463541507721,1.4831715822219849,1.4186489582061768
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.q_proj.weight,,6.0,attention,q_proj,802816,5.043043711339124e-05,0.0229396671056747,0.0229397099465131,0.0166284516453742
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.q_proj.bias,,6.0,attention,q_proj,896,-0.1321209967136383,1.9829246997833248,1.986217021942139,0.8823431730270386
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.k_proj.weight,,6.0,attention,k_proj,114688,7.134947372833267e-05,0.0282870791852474,0.0282870475202798,0.0209759753197431
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.k_proj.bias,,6.0,attention,k_proj,128,-0.0754063129425048,1.206273078918457,1.2039155960083008,0.8987491130828857
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.v_proj.weight,,6.0,attention,v_proj,114688,-3.0957480703364126e-06,0.0160516425967216,0.0160515736788511,0.0123995570465922
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.v_proj.bias,,6.0,attention,v_proj,128,0.06672203540802,0.5263581871986389,0.5285264849662781,0.3761302232742309
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.self_attn.o_proj.weight,,6.0,attention,o_proj,802816,-9.94029687717557e-06,0.0174688175320625,0.0174688082188367,0.0127795273438096
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.mlp.gate_proj.weight,,6.0,mlp,gate_proj,4358144,-1.537200114398729e-05,0.0219736229628324,0.0219736248254776,0.0171011500060558
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.mlp.up_proj.weight,,6.0,mlp,up_proj,4358144,-1.5696976333856583e-05,0.0184252839535474,0.0184252895414829,0.014445973560214
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.mlp.down_proj.weight,,6.0,mlp,down_proj,4358144,-1.4743848623766098e-05,0.0179467033594846,0.0179467070847749,0.0139121804386377
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.input_layernorm.weight,,6.0,norm,input_layernorm,896,1.027696967124939,0.3912473917007446,1.0995748043060305,1.0310626029968262
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.6.post_attention_layernorm.weight,,6.0,norm,post_attention_layernorm,896,1.296600580215454,0.3592879474163055,1.3454056978225708,1.296600580215454
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.q_proj.weight,,7.0,attention,q_proj,802816,2.8950724299647845e-05,0.0228639431297779,0.0228639468550682,0.0169647596776485
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.q_proj.bias,,7.0,attention,q_proj,896,0.338797926902771,2.658265352249145,2.678296566009521,1.040919542312622
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.k_proj.weight,,7.0,attention,k_proj,114688,-2.4001399651751854e-05,0.0278554242104291,0.0278553143143653,0.0206072721630334
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.k_proj.bias,,7.0,attention,k_proj,128,0.0874710083007812,0.803817629814148,0.8054353594779968,0.5386028289794922
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.v_proj.weight,,7.0,attention,v_proj,114688,0.000180308779818,0.018436960875988,0.0184377636760473,0.01428640820086
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.v_proj.bias,,7.0,attention,v_proj,128,-0.004372701048851,0.1734160184860229,0.1727926135063171,0.1028314679861068
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.self_attn.o_proj.weight,,7.0,attention,o_proj,802816,-4.329311195760965e-06,0.0178474113345146,0.0178474001586437,0.013317646458745
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.mlp.gate_proj.weight,,7.0,mlp,gate_proj,4358144,5.0845112127717584e-05,0.0212303195148706,0.0212303772568702,0.0163938757032156
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.mlp.up_proj.weight,,7.0,mlp,up_proj,4358144,-5.638603397528641e-06,0.0188010428100824,0.0188010409474372,0.0146555639803409
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.mlp.down_proj.weight,,7.0,mlp,down_proj,4358144,-8.635893209429923e-06,0.0181650221347808,0.018165023997426,0.0139091089367866
