model,model_label,family,layer_index,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,11,attention,bias,1,512,0.6482887268066406,0.0,0.6482887268066406,0.6482887268066406,0.6482887268066406,0.6482207179069519,0.0,0.6482207179069519,0.6482207179069519,0.6482207179069519,14.667560490803771,0.0,14.667560490803771,14.667560490803771,14.667560490803771,0.3117745816707611,0.0,0.3117745816707611,0.3117745816707611,0.3117745816707611
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,12,attention,bias,1,512,1.1375294923782349,0.0,1.1375294923782349,1.1375294923782349,1.1375294923782349,1.1366182565689087,0.0,1.1366182565689087,1.1366182565689087,1.1366182565689087,25.718735258889808,0.0,25.718735258889808,25.718735258889808,25.718735258889808,0.4337470233440399,0.0,0.4337470233440399,0.4337470233440399,0.4337470233440399
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,13,attention,bias,1,512,2.745192050933838,0.0,2.745192050933838,2.745192050933838,2.745192050933838,2.74499773979187,0.0,2.74499773979187,2.74499773979187,2.74499773979187,62.11220851675448,0.0,62.11220851675448,62.11220851675448,62.11220851675448,0.8224366903305054,0.0,0.8224366903305054,0.8224366903305054,0.8224366903305054
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,14,attention,bias,1,512,0.9755491614341736,0.0,0.9755491614341736,0.9755491614341736,0.9755491614341736,0.974712073802948,0.0,0.974712073802948,0.974712073802948,0.974712073802948,22.05521654689495,0.0,22.05521654689495,22.05521654689495,22.05521654689495,0.420490562915802,0.0,0.420490562915802,0.420490562915802,0.420490562915802
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,15,attention,bias,1,512,1.50251305103302,0.0,1.50251305103302,1.50251305103302,1.50251305103302,1.5024282932281494,0.0,1.5024282932281494,1.5024282932281494,1.5024282932281494,33.99607150042097,0.0,33.99607150042097,33.99607150042097,33.99607150042097,0.4845851361751556,0.0,0.4845851361751556,0.4845851361751556,0.4845851361751556
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,16,attention,bias,1,512,1.343363881111145,0.0,1.343363881111145,1.343363881111145,1.343363881111145,1.3420840501785278,0.0,1.3420840501785278,1.3420840501785278,1.3420840501785278,30.3678954497134,0.0,30.3678954497134,30.3678954497134,30.3678954497134,0.5609420537948608,0.0,0.5609420537948608,0.5609420537948608,0.5609420537948608
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,17,attention,bias,1,512,1.0000197887420654,0.0,1.0000197887420654,1.0000197887420654,1.0000197887420654,0.9993071556091307,0.0,0.9993071556091307,0.9993071556091307,0.9993071556091307,22.61173971902262,0.0,22.61173971902262,22.61173971902262,22.61173971902262,0.4712204337120056,0.0,0.4712204337120056,0.4712204337120056,0.4712204337120056
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,18,attention,bias,1,512,0.9709309935569764,0.0,0.9709309935569764,0.9709309935569764,0.9709309935569764,0.9702295660972596,0.0,0.9702295660972596,0.9702295660972596,0.9702295660972596,21.953788975841725,0.0,21.953788975841725,21.953788975841725,21.953788975841725,0.4968551099300384,0.0,0.4968551099300384,0.4968551099300384,0.4968551099300384
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,19,attention,bias,1,512,2.553454637527466,0.0,2.553454637527466,2.553454637527466,2.553454637527466,2.5531554222106934,0.0,2.5531554222106934,2.5531554222106934,2.5531554222106934,57.77131239898829,0.0,57.77131239898829,57.77131239898829,57.77131239898829,0.6616188287734985,0.0,0.6616188287734985,0.6616188287734985,0.6616188287734985
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,20,attention,bias,1,512,0.7156928181648254,0.0,0.7156928181648254,0.7156928181648254,0.7156928181648254,0.7150417566299438,0.0,0.7150417566299438,0.7150417566299438,0.7150417566299438,16.17954799822638,0.0,16.17954799822638,16.17954799822638,16.17954799822638,0.4139637947082519,0.0,0.4139637947082519,0.4139637947082519,0.4139637947082519
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,21,attention,bias,1,512,0.7380619645118713,0.0,0.7380619645118713,0.7380619645118713,0.7380619645118713,0.7373419404029846,0.0,0.7373419404029846,0.7373419404029846,0.7373419404029846,16.684143555590325,0.0,16.684143555590325,16.684143555590325,16.684143555590325,0.3738487660884857,0.0,0.3738487660884857,0.3738487660884857,0.3738487660884857
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,22,attention,bias,1,512,0.6889230608940125,0.0,0.6889230608940125,0.6889230608940125,0.6889230608940125,0.6882507801055908,0.0,0.6882507801055908,0.6882507801055908,0.6882507801055908,15.573337400627029,0.0,15.573337400627029,15.573337400627029,15.573337400627029,0.3708419799804687,0.0,0.3708419799804687,0.3708419799804687,0.3708419799804687
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,23,attention,bias,1,512,0.6844313144683838,0.0,0.6844313144683838,0.6844313144683838,0.6844313144683838,0.6844063401222229,0.0,0.6844063401222229,0.6844063401222229,0.6844063401222229,15.486347653999697,0.0,15.486347653999697,15.486347653999697,15.486347653999697,0.3802613615989685,0.0,0.3802613615989685,0.3802613615989685,0.3802613615989685
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,24,attention,bias,1,512,0.6822009682655334,0.0,0.6822009682655334,0.6822009682655334,0.6822009682655334,0.6816486120223999,0.0,0.6816486120223999,0.6816486120223999,0.6816486120223999,15.423947390317984,0.0,15.423947390317984,15.423947390317984,15.423947390317984,0.4102531969547272,0.0,0.4102531969547272,0.4102531969547272,0.4102531969547272
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,25,attention,bias,1,512,0.7583832740783691,0.0,0.7583832740783691,0.7583832740783691,0.7583832740783691,0.757661759853363,0.0,0.757661759853363,0.757661759853363,0.757661759853363,17.143928583617488,0.0,17.143928583617488,17.143928583617488,17.143928583617488,0.3593260645866394,0.0,0.3593260645866394,0.3593260645866394,0.3593260645866394
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,26,attention,bias,1,512,0.5972280502319336,0.0,0.5972280502319336,0.5972280502319336,0.5972280502319336,0.5966453552246094,0.0,0.5966453552246094,0.5966453552246094,0.5966453552246094,13.50054325256889,0.0,13.50054325256889,13.50054325256889,13.50054325256889,0.3632875680923462,0.0,0.3632875680923462,0.3632875680923462,0.3632875680923462
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,27,attention,bias,1,512,40.64160919189453,0.0,40.64160919189453,40.64160919189453,40.64160919189453,40.679298400878906,0.0,40.679298400878906,40.679298400878906,40.679298400878906,920.4674481015218,0.0,920.4674481015218,920.4674481015218,920.4674481015218,7.128019332885742,0.0,7.128019332885742,7.128019332885742,7.128019332885742
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.weight,0,attention,weight,1,1835008,0.0274596121162176,0.0,0.0274596121162176,0.0274596121162176,0.0274596121162176,0.0274596363306045,0.0,0.0274596363306045,0.0274596363306045,0.0274596363306045,37.19750083740351,0.0,37.19750083740351,37.19750083740351,37.19750083740351,0.021046532317996,0.0,0.021046532317996,0.021046532317996,0.021046532317996
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.weight,1,attention,weight,1,1835008,0.0220651794224977,0.0,0.0220651794224977,0.0220651794224977,0.0220651794224977,0.0220651812851429,0.0,0.0220651812851429,0.0220651812851429,0.0220651812851429,29.890038944790884,0.0,29.890038944790884,29.890038944790884,29.890038944790884,0.0149621544405817,0.0,0.0149621544405817,0.0149621544405817,0.0149621544405817
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.weight,2,attention,weight,1,1835008,0.0234525073319673,0.0,0.0234525073319673,0.0234525073319673,0.0234525073319673,0.0234525110572576,0.0,0.0234525110572576,0.0234525110572576,0.0234525110572576,31.769350081278006,0.0,31.769350081278006,31.769350081278006,31.769350081278006,0.0172887053340673,0.0,0.0172887053340673,0.0172887053340673,0.0172887053340673
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.weight,3,attention,weight,1,1835008,0.0239364765584468,0.0,0.0239364765584468,0.0239364765584468,0.0239364765584468,0.0239364709705114,0.0,0.0239364709705114,0.0239364709705114,0.0239364709705114,32.4249341196749,0.0,32.4249341196749,32.4249341196749,32.4249341196749,0.018064759671688,0.0,0.018064759671688,0.018064759671688,0.018064759671688
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.weight,4,attention,weight,1,1835008,0.0214646812528371,0.0,0.0214646812528371,0.0214646812528371,0.0214646812528371,0.0214646775275468,0.0,0.0214646775275468,0.0214646775275468,0.0214646775275468,29.076581739563828,0.0,29.076581739563828,29.076581739563828,29.076581739563828,0.0158565044403076,0.0,0.0158565044403076,0.0158565044403076,0.0158565044403076
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.weight,5,attention,weight,1,1835008,0.0196563806384801,0.0,0.0196563806384801,0.0196563806384801,0.0196563806384801,0.0196563750505447,0.0,0.0196563750505447,0.0196563750505447,0.0196563750505447,26.627010591107048,0.0,26.627010591107048,26.627010591107048,26.627010591107048,0.0146037898957729,0.0,0.0146037898957729,0.0146037898957729,0.0146037898957729
