model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-32B-Instruct,32B,attention,2,7,62921728,0.014277012449600043,0.575696546983506,0.014883940108120441,0.014277051643264873,0.5760568069028003,0.00946340861689946
Qwen/Qwen2.5-32B-Instruct,32B,attention,3,7,62921728,0.017278240496515482,0.4523235810920596,0.019561422988772392,0.017278236135439558,0.45220280598316875,0.012376789415761811
Qwen/Qwen2.5-32B-Instruct,32B,attention,4,7,62921728,0.019861016629639124,0.41271891365093843,0.02279331348836422,0.019861002999746052,0.41259525024465155,0.015072401162333143
Qwen/Qwen2.5-32B-Instruct,32B,attention,5,7,62921728,0.021080851503459695,0.23600701774869645,0.021630743518471718,0.02108086832470924,0.23601659972752845,0.016383832288181466
Qwen/Qwen2.5-32B-Instruct,32B,attention,6,7,62921728,0.021249496657293712,0.23906213178166322,0.02385113015770912,0.021249486921382985,0.2390218326555831,0.016589675112813795
Qwen/Qwen2.5-32B-Instruct,32B,attention,7,7,62921728,0.02205027777223337,0.2275794026042734,0.023625699803233147,0.022050350499755372,0.22779377017702376,0.01729075155878461
Qwen/Qwen2.5-32B-Instruct,32B,attention,8,7,62921728,0.021100298062300096,0.25411475715892656,0.023667646571993828,0.021100289736824644,0.2540813200175762,0.016380341394482963
Qwen/Qwen2.5-32B-Instruct,32B,attention,9,7,62921728,0.02212256289947505,0.24838478889848506,0.024101119488477707,0.02212261174396191,0.24845878620232856,0.017259699305591333
Qwen/Qwen2.5-32B-Instruct,32B,attention,10,7,62921728,0.022760747120341873,0.2382535527327231,0.025539755821228027,0.022760741812832323,0.23825131010796344,0.017773329755549457
Qwen/Qwen2.5-32B-Instruct,32B,attention,11,7,62921728,0.022271531809590676,0.26470133821879116,0.025011751800775528,0.022271541648474787,0.26468484476208687,0.017369428411132683
Qwen/Qwen2.5-32B-Instruct,32B,attention,12,7,62921728,0.022194440027342,0.2512797875595944,0.02468014694750309,0.02219443367439645,0.25127402054412024,0.017360240468135432
Qwen/Qwen2.5-32B-Instruct,32B,attention,13,7,62921728,0.02201811248818181,0.2447223019387041,0.02430279739201069,0.022018108097459736,0.24473430402576923,0.01720089019414323
Qwen/Qwen2.5-32B-Instruct,32B,attention,14,7,62921728,0.02249900997764172,0.2337626540767295,0.024989761412143707,0.022499072917508644,0.23388374729880265,0.01763195984602316
Qwen/Qwen2.5-32B-Instruct,32B,attention,15,7,62921728,0.02257078826679179,0.24017825536429882,0.024524154141545296,0.022570809538661973,0.2402159372078521,0.017663676152991723
Qwen/Qwen2.5-32B-Instruct,32B,attention,16,7,62921728,0.02196758236963225,0.26501244040472166,0.024740271270275116,0.02196756901558781,0.26495230064860414,0.017105862194304256
Qwen/Qwen2.5-32B-Instruct,32B,attention,17,7,62921728,0.021929668179209737,0.24353550321289472,0.025345059111714363,0.021929692488324916,0.24368840269744396,0.017106465910920243
Qwen/Qwen2.5-32B-Instruct,32B,attention,18,7,62921728,0.021963695331578343,0.2515650593808719,0.025036774575710297,0.021963691304915836,0.2515389091734375,0.0170929282084613
Qwen/Qwen2.5-32B-Instruct,32B,attention,19,7,62921728,0.021445614364838633,0.24668734627110617,0.02448546141386032,0.021445880748285108,0.24717495776712894,0.01665457530615837
Qwen/Qwen2.5-32B-Instruct,32B,attention,20,7,62921728,0.02155518823174285,0.23683832958340645,0.024551376700401306,0.02155526706612917,0.2370473463088274,0.016752180153899933
Qwen/Qwen2.5-32B-Instruct,32B,attention,21,7,62921728,0.022269220869068324,0.24834409728646278,0.026114817708730698,0.022269220676216787,0.24833470609571254,0.01734845380059002
Qwen/Qwen2.5-32B-Instruct,32B,attention,22,7,62921728,0.022391621642954357,0.23877630808523723,0.024790916591882706,0.02239161902330175,0.23873914379094327,0.017485645662274833
Qwen/Qwen2.5-32B-Instruct,32B,attention,23,7,62921728,0.02244366373708138,0.31102452906114714,0.024403726682066917,0.02244364974161309,0.31095392256975174,0.01754597169493292
Qwen/Qwen2.5-32B-Instruct,32B,attention,24,7,62921728,0.022123629987319378,0.2592749662165131,0.02445780672132969,0.02212361784422012,0.25921493183289257,0.017221159406808663
Qwen/Qwen2.5-32B-Instruct,32B,attention,25,7,62921728,0.021799205247031054,0.2791187866990055,0.024490924552083015,0.021799381968698982,0.2794134044753654,0.01696552605671585
Qwen/Qwen2.5-32B-Instruct,32B,attention,26,7,62921728,0.022241690272864663,0.25746454298496246,0.026354359462857246,0.02224168373985968,0.25742013805678915,0.017302839877599976
Qwen/Qwen2.5-32B-Instruct,32B,attention,27,7,62921728,0.02263448576271007,0.2938172591051885,0.02673984132707119,0.02263447217925657,0.2937560249119997,0.01763227600741614
Qwen/Qwen2.5-32B-Instruct,32B,attention,28,7,62921728,0.022680300865108038,0.2958158895905529,0.025001803413033485,0.022680299547764102,0.2957589253783226,0.017659605236422616
Qwen/Qwen2.5-32B-Instruct,32B,attention,29,7,62921728,0.022582149530823555,0.2946168753717627,0.02463936060667038,0.022582146832417677,0.2946123302515064,0.017549291452428433
Qwen/Qwen2.5-32B-Instruct,32B,attention,30,7,62921728,0.02294260958387541,0.30997883901000023,0.02504071779549122,0.02294260592066621,0.30996207813067095,0.017864133639461405
Qwen/Qwen2.5-32B-Instruct,32B,attention,31,7,62921728,0.02286895181201815,0.2900134572493179,0.025092313066124916,0.022869087730338387,0.29039533090378555,0.017867098401138905
Qwen/Qwen2.5-32B-Instruct,32B,attention,32,7,62921728,0.022745599877554565,0.2787082408155714,0.024941461160779,0.022745589407431786,0.2786809094250202,0.017597492410016957
Qwen/Qwen2.5-32B-Instruct,32B,attention,33,7,62921728,0.02285052241939178,0.24952756453837668,0.025495333597064018,0.022850551751255842,0.24972216838172503,0.017668635987168165
Qwen/Qwen2.5-32B-Instruct,32B,attention,34,7,62921728,0.02278092396554775,0.2514464229877506,0.024555707350373268,0.02278092021279384,0.2514322820518698,0.017581028001290827
Qwen/Qwen2.5-32B-Instruct,32B,attention,35,7,62921728,0.022379397708039726,0.24853723176888057,0.02397509478032589,0.022379656225010744,0.24899959244898387,0.0172396579369235
Qwen/Qwen2.5-32B-Instruct,32B,attention,36,7,62921728,0.02250505669834942,0.23731490996267116,0.024091579020023346,0.02250513373262638,0.23750073409506253,0.017284595101702185
Qwen/Qwen2.5-32B-Instruct,32B,attention,37,7,62921728,0.022923663669779205,0.25188807557736126,0.02561466209590435,0.02292366441566178,0.2518912854471377,0.01770734526231534
