model,model_label,layer_index,component,mean_rms,std_rms,mean_fro_norm,std_fro_norm,mean_tensor_std,std_tensor_std
Qwen/Qwen2.5-1.5B-Instruct,1.5B,20,attention,0.3228329204555069,0.4807605906311956,26.7273175962633,17.847438481948988,0.32254141702183653,0.47995325466522165
Qwen/Qwen2.5-1.5B-Instruct,1.5B,20,mlp,0.028277116517225868,0.0005686589610258239,104.90223327923614,2.1096067185464,0.0282771072040001,0.0005686641672664875
Qwen/Qwen2.5-1.5B-Instruct,1.5B,20,norm,1.0710231363773346,0.15109810233116144,41.97536298943599,5.921812029026928,0.2688033953309059,0.04007031768560411
Qwen/Qwen2.5-1.5B-Instruct,1.5B,21,all,0.39550308634837467,0.5066015220591582,49.432019385531085,35.767635198762676,0.25439289476101595,0.39058003412906733
Qwen/Qwen2.5-1.5B-Instruct,1.5B,21,attention,0.3496824742427894,0.48386394909421154,27.045463359160262,17.864586946383902,0.34801909141242504,0.4802627483174076
Qwen/Qwen2.5-1.5B-Instruct,1.5B,21,mlp,0.0284960605204105,0.0006115575811701991,105.71447008857182,2.2687516955457716,0.028496056795120166,0.000611558490126301
Qwen/Qwen2.5-1.5B-Instruct,1.5B,21,norm,1.1063857674598694,0.07543975114822388,43.361289423267905,2.9566223461710344,0.2655464634299278,0.02615226060152051
Qwen/Qwen2.5-1.5B-Instruct,1.5B,22,all,0.39851112896576524,0.5464222258125524,50.3112041243061,36.33855527398962,0.2599354237318039,0.46377391423831377
Qwen/Qwen2.5-1.5B-Instruct,1.5B,22,attention,0.3723618356244905,0.5769530388346511,28.914546772589954,20.645257803515193,0.37234207056462765,0.576656467860015
Qwen/Qwen2.5-1.5B-Instruct,1.5B,22,mlp,0.028702553982535933,0.0005682971186720263,106.48051797472469,2.108264358515268,0.028702549015482234,0.0005682976143113677
Qwen/Qwen2.5-1.5B-Instruct,1.5B,22,norm,1.0447465181350708,0.03535783290863037,40.94553407968472,1.3857383845877074,0.21336147189140314,0.007556691765785245
Qwen/Qwen2.5-1.5B-Instruct,1.5B,23,all,0.4201938014787932,0.5215506672439217,50.678648621312725,36.36359725959341,0.27957721256340545,0.41801952104995155
Qwen/Qwen2.5-1.5B-Instruct,1.5B,23,attention,0.3879872677581651,0.5097228910025449,28.10135436912111,18.419441239155542,0.3879582392317908,0.5098089078537831
Qwen/Qwen2.5-1.5B-Instruct,1.5B,23,mlp,0.029083145782351435,0.0005014991824326336,107.89243455907967,1.8604578791775428,0.029083140815297736,0.0005015041330376686
Qwen/Qwen2.5-1.5B-Instruct,1.5B,23,norm,1.1195826530456543,0.02242159843444813,43.87849959733292,0.878743606111744,0.2759847268462181,0.05939043313264848
Qwen/Qwen2.5-1.5B-Instruct,1.5B,24,all,0.4382541663944721,0.5399558560096467,51.979152461609154,36.059592762265886,0.29354721245666343,0.4331748979907675
Qwen/Qwen2.5-1.5B-Instruct,1.5B,24,attention,0.4069330657699278,0.5266716210169762,29.5707509457238,18.430760877227254,0.406523556049381,0.5264366103125705
Qwen/Qwen2.5-1.5B-Instruct,1.5B,24,mlp,0.0292669565727313,0.0005881209359024892,108.57433444091252,2.181806605948033,0.02926694477597867,0.0005881315427495617
Qwen/Qwen2.5-1.5B-Instruct,1.5B,24,norm,1.1613588333129883,0.035401225090026855,45.51578479825285,1.387439003839667,0.29455041140317917,0.08017656952142717
Qwen/Qwen2.5-1.5B-Instruct,1.5B,25,all,0.4462705433058242,0.5395771504088241,51.852686655591924,36.57126539590256,0.31095007124046486,0.42047121948802063
Qwen/Qwen2.5-1.5B-Instruct,1.5B,25,attention,0.39219668826886583,0.48168105509204506,28.020422445885792,17.688004556125225,0.3924140099968229,0.48169066517416276
Qwen/Qwen2.5-1.5B-Instruct,1.5B,25,mlp,0.029405151183406465,0.0010225364435191705,109.08700776381473,3.7933979749747064,0.02940513938665387,0.0010225525964258902
Qwen/Qwen2.5-1.5B-Instruct,1.5B,25,norm,1.260827124118805,0.01999276876449585,49.41412972722921,0.7835533122954956,0.44814368337392807,0.29619816690683365
Qwen/Qwen2.5-1.5B-Instruct,1.5B,26,all,0.4561344888061285,0.5481819381385814,53.1966846718104,35.58463787772067,0.3254794498595099,0.42377965880916035
Qwen/Qwen2.5-1.5B-Instruct,1.5B,26,attention,0.3842424542776176,0.4516199884167354,29.612380604747823,17.154823562251018,0.38400005815284594,0.4514522934788409
Qwen/Qwen2.5-1.5B-Instruct,1.5B,26,mlp,0.0292383345464865,0.0013032099881848,108.46815266413103,4.834638571054854,0.029238332683841333,0.001303210578155646
Qwen/Qwen2.5-1.5B-Instruct,1.5B,26,norm,1.3481008410453796,0.04584580659866333,52.834546918048524,1.796781328208752,0.5650189965963364,0.4039762765169144
Qwen/Qwen2.5-1.5B-Instruct,1.5B,27,all,0.4978725758070747,0.6103686881206191,52.01740082179549,33.059470134937094,0.34177183095986635,0.41840620934074363
