model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-3B-Instruct,3B,attention,26,7,9439744,0.026504480716673724,0.3594704038862671,0.028876379132270813,0.026504367990019706,0.3592099544725248,0.020029913290163993
Qwen/Qwen2.5-3B-Instruct,3B,attention,27,7,9439744,0.02605422810887918,1.3581807701183217,0.02754383720457554,0.026053914511852606,1.3576403435851847,0.01886864011560593
Qwen/Qwen2.5-3B-Instruct,3B,attention,28,7,9439744,0.026289069035117327,0.3412053566426039,0.030169827863574028,0.02628909529945452,0.3411674358482872,0.019782709894720932
Qwen/Qwen2.5-3B-Instruct,3B,attention,29,7,9439744,0.025993120087914916,0.45532583684793543,0.03006507270038128,0.02599325337984036,0.4558463588889156,0.01983105791666496
Qwen/Qwen2.5-3B-Instruct,3B,attention,30,7,9439744,0.026440398112830898,0.32513360200183733,0.03010130114853382,0.02644034979619761,0.32493339558797224,0.019837059530981607
Qwen/Qwen2.5-3B-Instruct,3B,attention,31,7,9439744,0.026527716027634478,0.4138403521584613,0.028309982270002365,0.026527724502634548,0.41375550920409815,0.01949300564081568
Qwen/Qwen2.5-3B-Instruct,3B,attention,32,7,9439744,0.02787087793308063,0.4001181995762246,0.030775107443332672,0.027870979438300324,0.40009981846170767,0.02078323445572876
Qwen/Qwen2.5-3B-Instruct,3B,attention,33,7,9439744,0.028751765999694694,0.3586034705596311,0.04857802391052246,0.02875198868222083,0.35859352962246965,0.02143610082738485
Qwen/Qwen2.5-3B-Instruct,3B,attention,34,7,9439744,0.02554817665274363,0.4471182341554335,0.036920215934515,0.025548233441548215,0.4469370301812887,0.0197271733462581
Qwen/Qwen2.5-3B-Instruct,3B,attention,35,7,9439744,0.025444995713943888,0.5030631540077073,0.03496783971786499,0.025445635900545542,0.5051971242896148,0.01979853172664846
Qwen/Qwen2.5-3B-Instruct,3B,embedding,,1,311164928,0.024320924654603004,0.024320924654603004,0.024320924654603004,0.024321112781763077,0.024321112781763077,0.019161641597747803
Qwen/Qwen2.5-3B-Instruct,3B,mlp,0,3,67633152,0.02520047314465046,0.02520047314465046,0.025267837569117546,0.025200481836994488,0.025200481836994488,0.019706692546606064
