run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,mean_reward,count,results_path
countdown_20260314_132522,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.003,0.18382350000000003,200,codex/experiments/countdown_20260314_132522/results.json
countdown_20260314_132526,Qwen/Qwen2.5-1.5B-Instruct,global_stream,tensor_std,False,False,0.0025,0.08346750000000001,200,codex/experiments/countdown_20260314_132526/results.json
countdown_20260314_132529,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.005,0.014886,200,codex/experiments/countdown_20260314_132529/results.json
countdown_20260314_135851,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.000125,0.0417235,200,codex/experiments/countdown_20260314_135851/results.json
countdown_20260314_140229,Qwen/Qwen2.5-1.5B-Instruct,global_stream,tensor_std,False,False,0.005,0.084417,200,codex/experiments/countdown_20260314_140229/results.json
countdown_20260314_141307,Qwen/Qwen2.5-3B-Instruct,global_stream,tensor_std,False,False,0.0025,0.133411,200,codex/experiments/countdown_20260314_141307/results.json
countdown_20260314_142427,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.00025,0.03545149999999999,200,codex/experiments/countdown_20260314_142427/results.json
countdown_20260314_143014,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.005,0.029416,200,codex/experiments/countdown_20260314_143014/results.json
countdown_20260314_143811,Qwen/Qwen2.5-1.5B-Instruct,global_stream,tensor_std,False,False,0.01,0.0274695,200,codex/experiments/countdown_20260314_143811/results.json
countdown_20260314_144937,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.0005,0.027873000000000002,200,codex/experiments/countdown_20260314_144937/results.json
countdown_20260314_145826,Qwen/Qwen2.5-3B-Instruct,global_stream,tensor_std,False,False,0.005,0.13541600000000004,200,codex/experiments/countdown_20260314_145826/results.json
countdown_20260314_151232,Qwen/Qwen2.5-1.5B-Instruct,global_stream,tensor_std,False,False,0.02,0.0,200,codex/experiments/countdown_20260314_151232/results.json
countdown_20260314_151539,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.001,0.0181985,200,codex/experiments/countdown_20260314_151539/results.json
countdown_20260314_154235,Qwen/Qwen2.5-3B-Instruct,global_stream,tensor_std,False,False,0.01,0.13730900000000001,200,codex/experiments/countdown_20260314_154235/results.json
countdown_20260314_154239,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.002,0.010616499999999997,200,codex/experiments/countdown_20260314_154239/results.json
countdown_20260314_161145,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.003,0.006048,200,codex/experiments/countdown_20260314_161145/results.json
countdown_20260314_161242,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,1e-05,0.397132,100,codex/experiments/countdown_20260314_161242/results.json
countdown_20260314_161245,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,1e-05,0.07665100000000001,100,codex/experiments/countdown_20260314_161245/results.json
countdown_20260314_162733,Qwen/Qwen2.5-3B-Instruct,global_stream,tensor_std,False,False,0.02,0.1639815,200,codex/experiments/countdown_20260314_162733/results.json
countdown_20260314_163436,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,3e-05,0.07727450000000001,100,codex/experiments/countdown_20260314_163436/results.json
countdown_20260314_164336,Qwen/Qwen2.5-0.5B-Instruct,global_stream,absolute,False,False,0.005,4.9e-05,200,codex/experiments/countdown_20260314_164336/results.json
countdown_20260314_165519,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,3e-05,0.40402950000000004,100,codex/experiments/countdown_20260314_165519/results.json
